User ID,Conversation ID,Goal Type,Goal Description,Number of Turns,Termination Type,Errors
C1,1,Closed,Book an Italian restaurant for 2 people on Saturday night,14,Normal without inconvenience,[]
C1,2,Closed,Book a 3-star hotel near the city center,9,Normal without inconvenience,[]
C2,3,Closed,Find a coffee shop open until 10 PM,6,Abnormal termination,"['Repetition', 'Irrelevant response', 'Pretending']"
C3,4,Closed,Book a sushi restaurant for 4 people on the weekend,13,Normal without inconvenience,[]
C4,5,Closed,Find a restaurant serving European-style breakfast,14,Normal with inconvenience,"['Pretending', 'Self-contradiction']"
C5,6,Closed,Book a hotel with a single room and free breakfast,9,Normal with inconvenience,"['Pretending', 'Irrelevant response']"
C6,7,Closed,Find a movie theater near the city park,5,Normal without inconvenience,[]
C7,8,Closed,Book movie tickets for Friday,12,Normal without inconvenience,[]
C8,9,Closed,Find a store that sells fresh fruit,7,Abnormal termination,"['Repetition', 'Poor fluency', 'Irrelevant response', 'Pretending']"
C9,10,Closed,Find a restaurant serving Vietnamese food,10,Normal without inconvenience,[]
C10,11,Closed,Book a Chinese restaurant for lunch on Sunday,14,Normal without inconvenience,[]
C1,12,Closed,Book a car to the airport on Monday morning,9,Normal without inconvenience,[]
C2,13,Closed,Find a pet shop near home,7,Normal without inconvenience,[]
C3,14,Closed,Book a double room at a hotel near the beach,14,Normal without inconvenience,[]
C4,15,Closed,Find a coffee shop with a workspace area,12,Normal without inconvenience,[]
C5,16,Closed,Book a dinner table for 3 at a Korean restaurant,8,Normal without inconvenience,[]
C6,17,Closed,Find a parking lot near the shopping mall,15,Normal without inconvenience,[]
C7,18,Closed,Book a flight to Hanoi on Tuesday,14,Abnormal termination,"['Pretending', 'Self-contradiction', 'Poor fluency', 'Repetition']"
C8,19,Closed,Find a store for fashion shoes,12,Normal without inconvenience,[]
C9,20,Closed,Book a 4-star hotel with a swimming pool,6,Normal without inconvenience,[]
C10,21,Closed,Find a nearby supermarket to buy groceries,5,Normal without inconvenience,[]
C1,22,Closed,Book a shuttle to the train station,11,Normal without inconvenience,[]
C2,23,Closed,Find an electronics store,15,Normal without inconvenience,[]
C3,24,Closed,Book a dinner for 5 people tonight,7,Abnormal termination,"['Repetition', 'Pretending']"
C4,25,Closed,Find a fast-food restaurant,11,Abnormal termination,"['Repetition', 'Irrelevant response', 'Pretending', 'Poor fluency']"
C5,26,Closed,Book a bus ticket to the nearest city,10,Normal with inconvenience,['Irrelevant response']
C6,27,Closed,Find a vegetarian restaurant,8,Normal without inconvenience,[]
C7,28,Closed,Book a hotel with a fitness room,6,Normal with inconvenience,"['Poor fluency', 'Repetition']"
C8,29,Closed,Find a cosmetic store,12,Abnormal termination,"['Irrelevant response', 'Pretending', 'Repetition', 'Self-contradiction']"
C9,30,Closed,Book a car for a conference on Thursday,15,Normal without inconvenience,[]
C10,31,Closed,Find the largest shopping mall in the area,7,Normal with inconvenience,"['Irrelevant response', 'Repetition', 'Pretending']"
C1,32,Closed,Book a table at a French restaurant for 2 on Saturday afternoon,6,Normal without inconvenience,[]
